任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
11,600105,永鼎股份,AI光纤,未提供,AI光纤主业H1同比暴增1624%-2314%，Q2环比+114%-240%，机构全年预测已被半年下限超越,业绩公告;研报观点,强,未体现,业绩/订单,下半年海外算力订单落地;全年业绩上修,无,S,利好,未写入,,
12,300308,中际旭创,光通信,未提供,光模块全球龙头，订单持续上修，高价值量新品加速推出，中国光通信企业在全球AI最有定价权,研报观点;产业链地位,强,未体现,订单/新品,中报业绩;800G/1.6T出货进展,无,A,利好,未写入,,
13,601869,长飞光纤光缆,光纤光缆,未提供,光纤壁垒极高，与北美签大量长协价格好，港股仅约1500亿人民币市值性价比突出,研报观点;长协订单,中,未体现,订单/涨价,北美光纤长协执行情况,无,A,利好,未写入,,
14,688048,长光华芯,光芯片,未提供,光芯片全品类布局技术领先，中国光芯片全球份额有望从15%升至50%+，预期差最大弹性最大,研报观点;产业链映射,中,未体现,国产替代/产能,光芯片出货量;200G EML进展,无,A,利好,未写入,,
15,603019,中科曙光,AI算力/服务器,未提供,国产服务器龙头，Intel CPU涨价传导整机采购成本上行利好具备稳定供货的上游厂商,研报观点;涨价,中,未体现,涨价传导,国产CPU服务器出货量,无,B,利好,未写入,,
16,000977,浪潮信息,AI算力/服务器,未提供,AI服务器龙头，Intel CPU涨价直接抬升整机价值量，量价齐升周期受益,研报观点;涨价,中,未体现,涨价传导,AI服务器出货量,无,B,利好,未写入,,
17,000938,紫光股份,AI算力/服务器,未提供,服务器整机受益CPU涨价周期，算力硬件细分龙头业绩弹性有望释放,研报观点;涨价,弱,未体现,涨价传导,季度营收确认,无,B,利好,未写入,,
18,688629,华丰科技,连接器/超节点,未提供,华为超节点高速连接器核心供应商，单卡配套5000-1万元壁垒高净利率高，还有NPO和光无源器件加持,研报观点;产业链映射,中,未体现,订单/产能,超节点出货量;连接器订单,无,B,利好,未写入,,
19,688529,胜蓝股份,连接器/超节点,未提供,阿里系高速连接器核心推荐标的，莫仕强力背书，国产超节点需求大幅提升,研报观点;产业链映射,弱,未体现,订单,阿里超节点部署进度,无,B,利好,未写入,,
20,688519,南亚新材,CCL/半导体材料,未提供,普通CCL涨价持续+高速CCL加速放量M10突破，目标价442元对应27年PE84.65X,研报观点;涨价;订单,强,未体现,涨价/新品,M10订单落地;CCL涨价持续性,无,S,利好,未写入,,
21,600549,厦门钨业,PCB/钨,未提供,PCB钻针涨价+国产替代机遇，同时钨主业受益住友8月1日涨价函,涨价;研报观点,中,未体现,涨价/国产替代,PCB钻针价格趋势;钨价走势,无,B,利好,未写入,,
22,000657,中钨高新,PCB/钨,未提供,PCB钻针国产替代受益，海外钻针棒材厂商收缩供给叠加英伟达Rubin放量拉动需求,涨价;研报观点,弱,未体现,国产替代,PCB钻针市场份额变化,无,B,利好,未写入,,
23,688257,新锐股份,PCB/钨,未提供,PCB钻针国产替代受益标的，英伟达Rubin平台放量拉动钻针需求,涨价;研报观点,弱,未体现,国产替代,钻针订单确认,无,B,利好,未写入,,
24,002484,江海股份,电容/MLPC,未提供,MLPC突破服务器电源关键元器件，超级电容深度受益数据中心UPS，电容全维度深耕,研报观点;产业链映射,中,未体现,订单/产能,MLPC服务器电源批量订单,无,B,利好,未写入,,
25,688981,中芯国际,先进封装/代工,未提供,华为τ定律2.0先进制程+3D封装核心制造平台，后摩尔时代代工价值量提升,研报观点;产业链映射,中,未体现,产能/政策,9月麒麟2026旗舰手机发布,无,A,利好,未写入,,
26,688347,华虹公司,先进封装/代工,未提供,华为τ定律2.0先进制程受益，国产晶圆代工核心标的,研报观点;产业链映射,弱,未体现,产能,代工产能利用率,无,B,利好,未写入,,
27,002371,北方华创,半导体设备,未提供,华为τ定律代工环节设备受益，DUV光刻/刻蚀/薄膜沉积/填充/CMP全流程价值量提升,研报观点;产业链映射,中,未体现,订单,设备中标/出货数据,无,B,利好,未写入,,
28,688012,中微公司,半导体设备,未提供,TSV高深宽比刻蚀受益于τ定律3D堆叠技术路线,研报观点;产业链映射,中,未体现,订单,刻蚀设备出货量,无,B,利好,未写入,,
29,688072,拓荆科技,半导体设备,未提供,混合键合设备受益于τ定律晶圆级键合需求爆发,研报观点;产业链映射,中,未体现,订单,混合键合设备订单,无,B,利好,未写入,,
30,300456,赛微电子,液冷/先进封装,未提供,华为τ定律硅基微通道液冷唯一量产标的，已为华为代工MEMS-OCS，双方有成熟流片协同基础,研报观点;产业链映射;小作文,强,未体现,订单/量产,硅基微通道液冷客户验证与量产进度,未产品化,A,观察,未写入,,
31,601100,恒立液压,机器人,未提供,特斯拉Optimus核心硬件供应商，主业王者基因+战略眼光+执行力，量产离不开「立利组合」,研报观点;产业链映射,强,未体现,订单/量产,Tesla周产爬坡数据,无,A,利好,未写入,,
32,002850,科达利,机器人,未提供,特斯拉Optimus核心硬件供应商，主业极好有技术+生产+资金+人才全面优势,研报观点;产业链映射,强,未体现,订单/量产,Tesla周产爬坡数据,无,A,利好,未写入,,
33,603009,北特科技,机器人,未提供,特斯拉机器人大小丝杠已下订单，海外建厂顺利，量产确定性提升,研报观点;订单,中,未体现,订单/产能,丝杠订单交付进度,无,B,利好,未写入,,
34,未提供,浙江荣泰,机器人,未提供,特斯拉机器人大小丝杠已下订单，海外建厂顺利，与北特同为丝杠核心供应商,研报观点;订单,弱,未体现,订单/产能,丝杠订单交付进度,无,B,利好,未写入,,
35,300969,恒帅股份,机器人,未提供,特斯拉机器人手部电机型号拿全，身体亦有突破，微型电机核心供应商,研报观点;产业链映射,中,未体现,订单/产能,微型电机订单确认,无,B,利好,未写入,,
36,未提供,儒竞科技,机器人,未提供,市值最小T链机器人标的仅66亿，驱控单台1万价值量，40%份额对应150亿市值具备数倍补涨空间,研报观点;产业链映射,中,未体现,订单/量产,四季度对T规模供应确认,无,B,利好,未写入,,
37,688322,奥比中光,机器人,未提供,特斯拉机器人视觉国内唯一供应商，格局极好，视觉传感器核心标的,研报观点;产业链映射,中,未体现,订单,视觉传感器订单确认,无,B,利好,未写入,,
38,300499,高澜股份,液冷,未提供,Rubin强制液冷+华为超节点共振，Q2若5000万利润兑现则上半年6500万，AI液冷最强弹性标的,研报观点;产业链映射,中,未体现,业绩/订单,中报利润兑现;液冷订单交付,无,B,利好,未写入,,
39,688234,天岳先进,碳化硅,未提供,2026年出货目标70万片，8英寸市占率50%，预计2026年大概率盈亏平衡或盈利,研报观点;业绩,中,未体现,产能/业绩,全年出货70万片目标达成,无,A,利好,未写入,,
40,600460,士兰微,功率半导体,未提供,功率半导体公司陆续上调产品价格10%-25%，公司为核心受益标的,涨价;新闻资讯,中,未体现,涨价,功率半导体价格趋势,无,B,利好,未写入,,
41,688469,芯联集成,功率半导体,未提供,功率半导体公司陆续上调产品价格10%-25%，晶圆代工+自有产品双受益,涨价;新闻资讯,弱,未体现,涨价,功率半导体价格趋势,无,B,利好,未写入,,
42,300373,扬杰科技,功率半导体,未提供,功率半导体公司陆续上调产品价格10%-25%，分立器件龙头受益涨价,涨价;新闻资讯,弱,未体现,涨价,功率半导体价格趋势,无,B,利好,未写入,,
43,603650,彤程新材,半导体材料,未提供,原文标注个股，半导体光刻胶及材料综合供应商,原文标注,弱,未体现,国产替代,光刻胶量产进度,无,B,观察,未写入,,
44,300346,南大光电,半导体材料,未提供,原文标注个股，半导体前驱体材料及特气供应商,原文标注,弱,未体现,国产替代,前驱体出货量,无,B,观察,未写入,,
45,000034,神州数码,AI算力/服务器,未提供,子公司中标中国移动PC服务器集采项目协议含税金额上限13.41亿元，CPU涨价周期分销+自有品牌双受益,中标公告;研报观点,中,未体现,订单/业绩,中标执行进度;季度营收,无,B,利好,未写入,,
46,688531,日联科技,工业检测,未提供,6亿珠海拿地建设华南总部基地，参与马来西亚半导体设备公司QES定增，全球工业检测平台持续兑现,研报观点;公告,中,未体现,订单/并购,QES整合进度;华南基地投产,无,B,利好,未写入,,
47,300738,奥飞数据,AIDC,未提供,国内头部第三方IDC，2026Q1算力交付集中兑现期，营收净利润同步加速上行,研报观点,弱,未体现,订单/业绩,季度算力机柜投产与营收确认,无,B,观察,未写入,,
48,688256,寒武纪,AI算力,未提供,国产算力芯片龙头，Agent落地+大模型推理需求爆发驱动国产AI芯片需求增长,研报观点;产业链映射,中,未体现,订单/业绩,国产算力芯片出货;Q2惊喜预期,无,B,利好,未写入,,
49,600183,生益科技,CCL/覆铜板,未提供,全球覆铜板龙头，存储封装基板上游核心基材供应商，存储相关订单持续到2027年,研报观点;产业链映射,弱,未体现,订单/涨价,CCL涨价持续性;订单季度确认,无,B,利好,未写入,,
50,300568,星源材质,MFC/压电陶瓷,未提供,持股邦瓷电子13.5%（MFC核心零部件压电陶瓷国内唯一半导体级认证），后续持股比例有望增加,研报观点;产业链映射,弱,未体现,参股映射,邦瓷电子MFC收入确认;持股比例变化,无,B,观察,未写入,,
51,601138,工业富联,AI服务器,未提供,鸿海6月销售额8218亿元台币同比增长52.1%，AI机架持续增长趋势明确,业绩公告;产业链映射,中,未体现,业绩,AIGPU服务器出货量,无,B,利好,未写入,,
52,601689,拓普集团,机器人,未提供,特斯拉机器人产业链核心，拓普与三花为老牌T链供应商，受益Optimus量产爬坡,研报观点;产业链映射,中,未体现,订单/产能,Optimus量产配套确认,无,B,观察,未写入,,
53,002050,三花智控,机器人,未提供,特斯拉机器人产业链核心供应商，受益Optimus量产爬坡，热管理+机电执行器双布局,研报观点;产业链映射,中,未体现,订单/产能,Optimus量产配套确认,无,B,观察,未写入,,
54,未提供,巨化股份,制冷剂,未提供,R32 Q3长协价6.45万元/吨环比+2800元，季度涨幅超越Q2，制冷剂龙头核心受益,涨价;产业链映射,弱,未体现,涨价,Q3制冷剂长协执行与价格趋势,无,B,观察,未写入,,
55,未提供,三美股份,制冷剂,未提供,R32/R410a Q3长协价大涨，制冷剂行业景气上行受益标的,涨价;产业链映射,弱,未体现,涨价,Q3制冷剂价格趋势,无,B,观察,未写入,,
56,002460,赣锋锂业,锂矿,未提供,美国国防部启动碳酸锂战略收储五年1.62万吨，锂矿龙头产业链映射,新闻资讯;产业链映射,弱,未体现,政策/收储,美国国防部收储招标进展,无,C,观察,未写入,,
57,002466,天齐锂业,锂矿,未提供,美国国防部启动碳酸锂战略收储五年1.62万吨，锂矿龙头产业链映射,新闻资讯;产业链映射,弱,未体现,政策/收储,美国国防部收储招标进展,无,C,观察,未写入,,
58,600547,山东黄金,黄金,未提供,中信证券认为黄金调整步入尾声，金价相对200日均线折价10.7%落入经典底部区间,研报观点;产业链映射,弱,未体现,涨价/业绩,金价走势;FOMC会议,无,C,观察,未写入,,
59,688001,华兴源创,商业航天,未提供,千帆极轨13组卫星发射成功+FCC拟简化星座审批，卫星互联网地面终端环节受益,新闻资讯;产业链映射,弱,未体现,政策/订单,FCC投票结果;千帆后续组网发射,无,C,观察,未写入,,
