股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
002053,云南能投,新能源/风电/储能,未提供,中标100MW/400MWh全钒液流储能项目(构网型)；待备案审批,公告/中标,中,弱,政策/事件,项目备案获批,无,B,观察
603097,江苏华辰,新能源/风电/储能,未提供,签2.21亿储能变流升压一体机合同,公告/订单,弱,弱,订单/业绩,合同执行进展,无,C,利好
601615,明阳智能,新能源/风电/储能,未提供,风电整机龙头，海上风电优势突出,映射补全,中,未体现,订单/政策,海上风电招标,无,B,观察
002202,金风科技,新能源/风电/储能,未提供,风电整机龙头，陆上+海上双布局,映射补全,中,未体现,订单/政策,风电招标量,无,B,观察
300199,翰宇药业,医药创新/GLP-1,未提供,司美格鲁肽注射液(减重)上市申请获CDE受理；5个规格覆盖主流临床；与三生蔓迪合作,公告/药品注册,强,中,事件/审批,审评进度；获批预期,无,A,利好
000661,长春高新,医药创新/GLP-1,未提供,子公司PTH1R激动剂临床获批(长效缓释多肽Duratide技术)；治疗甲状旁腺功能减退,公告/临床获批,中,弱,事件/研发,临床进展,无,C,利好
688621,阳光诺和,医药创新/GLP-1,未提供,定增不超2.4亿用于核酸药物发现与中试实验平台,公告/定增,弱,弱,事件/研发,定增获批；平台建成,无,C,利好
688076,诺泰生物,医药创新/GLP-1,未提供,GLP-1多肽原料药/CDMO，司美格鲁肽产业链受益,映射补全,中,未体现,订单/产能,GLP-1订单,无,B,观察
688117,圣诺生物,医药创新/GLP-1,未提供,多肽CDMO，GLP-1产业链受益,映射补全,弱,未体现,订单/产能,GLP-1订单,无,C,观察
300718,长盛轴承,机器人题材证伪区,20CM涨停,自润滑轴承主业平稳；具身智能零部件收入不足1%；机器人题材炒作后澄清,公告/澄清/异动,负面,退潮,无,题材退潮后走势,低占比,R,利空
301596,瑞迪智驱,机器人题材证伪区,20CM涨停,谐波减速机仅占营收8.44%；机器人题材炒作后澄清,公告/澄清/异动,负面,退潮,无,题材退潮后走势,低占比,R,利空
603286,日盈电子,机器人题材证伪区,2连板,电子皮肤收入不足1万元；尚处客户端验证及小批量试制,公告/澄清/异动,负面,退潮,无,产业化进程,仅送样；未产品化,R,利空
603135,中重科技,机器人题材证伪区,连板,人形机器人无收入无研发；商业航天无业务；柔性自动化收入极低(不超100万),公告/澄清/异动,负面,退潮,无,业务进展,澄清；未产品化,R,利空
301529,福赛科技,机器人题材证伪区,连板,机器人零部件早期研发/小批量试制/送样阶段；未形成正式订单；无收入利润,公告/澄清/异动,负面,退潮,无,商业化落地,仅送样；未产品化,R,利空
002709,天赐材料,锂电/化工利空,未提供,终止24.3万吨锂电及含氟新材料项目(投资26.54亿)；电解液产能过剩,公告/项目终止,负面,退潮,无,南通工厂新产品方案,项目终止,R,利空
300037,新宙邦,锂电/化工利空,未提供,电解液龙头，行业产能过剩压力传导,映射补全,负面,未体现,无,电解液价格趋势,无,C,观察
688755,汉邦科技,减持/利空,未提供,药明康德拟减持1%+清科致盛等拟减持2%；合计减持3%,公告/减持,负面,弱,无,减持实施进展,减持,R,利空
300014,亿纬锂能,减持/利空,未提供,拟减持思摩尔国际不超3.5%(约2.17亿股)；大额减持,公告/减持,负面,中,无,减持节奏；对锂电池板块情绪影响,减持,B,利空
603269,海鸥股份,减持/利空,未提供,控股股东金敖大拟减持不超3%(1295.83万股),公告/减持,负面,弱,无,减持实施,减持,C,利空
603256,宏和科技,减持/利空,未提供,二三大股东7月2-3日合计减持0.97%(875万股),公告/减持,弱,弱,无,后续减持计划,减持,C,利空
600405,动力源,其他,未提供,控制权变更停牌(7月6日起)；实控人筹划股份转让,公告/停牌,中,弱,事件,复牌公告；受让方,无,B,观察
002042,华孚时尚,其他,未提供,半年报净利+538%-697%；主因投资收益1.6亿+棉花涨价；扣非扭亏,业绩预告,弱,弱,业绩,扣非持续性,无,C,利好
002074,国轩高科,其他,未提供,出售铜冠铜箔股票获利8.29亿(非主营一次性收益),公告/减持收益,弱,弱,无,无,无,C,利好
300059,东方财富,其他,未提供,出资2亿参投云锋元创私募基金(硬科技)；财务性投资,公告/投资,弱,弱,事件,基金投资进展,无,C,观察
600084,*ST尼雅,其他,未提供,ST股半年报净利750-1090万同比+1017%-1523%；团购+降本+政府补助,业绩预告,弱,弱,业绩,扣非持续性,无,C,观察
300818,耐普矿机,其他,未提供,签7600万哈萨克斯坦选矿设备合同(渣浆泵/旋流器)；2027年确认收入,公告/订单,弱,弱,订单/海外,合同执行,无,C,利好
688025,杰普特,其他,未提供,112万新元收购NEOPTICS光连接标的；规避贸易摩擦拓展海外,公告/收购,弱,弱,事件/海外,收购整合,无,C,观察
002428,云南锗业,其他,未提供,副总经理普世坤因工作调整辞职；仍任技术中心主任,公告/人事,未体现,未体现,无,无,无,C,观察
600793,宜宾纸业,机器人题材证伪区,3连板,TAC膜仅38.2万预付款未签合同；后续订单存在重大不确定性,公告/澄清/异动,负面,退潮,无,正式合同签署,澄清,R,利空
