股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
603618,杭电股份,光纤光缆,未提供,H1净利润3.6-4.0亿元同比+852%~958%，光纤光缆量价齐升,业绩预告,强,强,业绩/涨价,Q3光纤价格与订单,无,S,利好
未提供,永鼎股份,光纤光缆,未提供,周末热门业绩公告股之一，与江波龙/杭电同列（原文未展开）,业绩预告,中,中,业绩,详细业绩公告内容,无,B,观察
688525,佰维存储,存储/半导体,未提供,存储模组厂商，江波龙同赛道映射标的，受益存储涨价周期,映射补全,中,中,涨价/业绩,Q2业绩兑现,无,B,观察
001309,德明利,存储/半导体,未提供,存储模组厂商，江波龙同赛道映射标的,映射补全,中,中,涨价/业绩,Q2业绩兑现,无,B,观察
300042,朗科科技,存储/半导体,未提供,存储模组厂商，江波龙同赛道映射标的,映射补全,弱,弱,涨价/业绩,业绩兑现,无,C,观察
603986,兆易创新,存储/半导体,未提供,利基存储龙头，NOR Flash+MCU，存储涨价周期受益,映射补全,中,中,涨价/业绩,Q2业绩兑现,无,B,观察
688766,普冉股份,存储/半导体,未提供,利基存储芯片，NOR Flash+EEPROM，涨价周期受益,映射补全,弱,弱,涨价/业绩,Q2业绩兑现,无,C,观察
300223,北京君正,存储/半导体,未提供,利基存储+车载存储芯片，DRAM涨价受益,映射补全,弱,弱,涨价/业绩,Q2业绩兑现,无,C,观察
688110,东芯股份,存储/半导体,未提供,利基存储芯片设计，NAND+DRAM双线,映射补全,弱,弱,涨价/业绩,Q2业绩兑现,无,C,观察
688416,恒烁股份,存储/半导体,未提供,利基存储芯片，NOR Flash设计,映射补全,弱,弱,涨价/业绩,Q2业绩兑现,无,C,观察
688123,聚辰股份,存储/半导体,未提供,EEPROM+SPD芯片，存储涨价周期受益,映射补全,弱,弱,涨价/业绩,Q2业绩兑现,无,C,观察
600584,长电科技,华为先进封装,未提供,先进封装六大之一，国内封测龙头，韬定律V2直接利好,研报观点/政策催化,强,中,产能/订单,先进封装订单增量,无,A,利好
002156,通富微电,华为先进封装,未提供,先进封装六大之一，AMD+国产算力双线封装,研报观点/政策催化,强,中,产能/订单,华为封装订单进展,无,A,利好
688403,汇成股份,华为先进封装,未提供,先进封装六大之一，显示驱动+先进封装,研报观点/政策催化,中,弱,产能/订单,先进封装订单增量,无,B,观察
002185,华天科技,华为先进封装,未提供,先进封装六大之一，国内封测第二梯队,研报观点/政策催化,中,弱,产能/订单,先进封装订单增量,无,B,观察
688362,甬矽电子,华为先进封装,未提供,先进封装六大之一，SiP+先进封装新锐,研报观点/政策催化,中,弱,产能/订单,先进封装订单增量,无,B,观察
688498,源杰科技,光芯片,未提供,光芯片标的，华为Hi-ONE引擎硅光方案受益，2028年配套昇腾960路标明确,研报观点/政策催化,中,中,客户/订单,光芯片产品验证,无,B,观察
002281,光迅科技,光芯片,未提供,光芯片+光模块，华为光互联方案受益,研报观点/政策催化,中,中,客户/订单,光芯片产品进展,无,B,观察
688048,长光华芯,光芯片,未提供,光芯片标的，华为硅光平台受益方向,研报观点/政策催化,弱,弱,客户/订单,光芯片产品进展,无,C,观察
002384,东山精密,光芯片/PCB,未提供,光芯片+PCB双线布局，袁永刚判断铜缆全被光取代后光芯片用量10倍,研报观点,强,中,客户/订单,光芯片订单+PCB载板进展,无,A,利好
300666,江丰电子,半导体材料,未提供,半导体靶材龙头，韬定律V2晶体管层直接受益,研报观点/政策催化,中,中,产能/订单,靶材订单增量,无,B,观察
688981,中芯国际,半导体制造,未提供,国内晶圆代工龙头，韬定律V2先进制程路标受益,研报观点/政策催化,强,中,产能/政策,先进制程进展,无,A,观察
688347,华虹宏力,半导体制造,未提供,特色工艺晶圆代工，韬定律V2制造层受益,研报观点/政策催化,中,弱,产能/政策,代工订单增量,无,B,观察
未提供,燕东微,半导体制造,未提供,韬定律V2制造方向受益标的,研报观点/政策催化,弱,弱,产能/政策,代工进展,无,C,观察
301269,华大九天,EDA,未提供,国产EDA龙头，韬定律V2电路层受益，第三方优化工具,研报观点/政策催化,中,弱,政策/客户,EDA工具推广,无,B,观察
688037,芯源微,半导体设备,未提供,涂胶显影设备龙头，华为第三方优化工具提供方,研报观点/政策催化,中,弱,订单/产能,设备订单增量,无,B,观察
688008,澜起科技,芯片互联,未提供,内存接口芯片龙头，超节点互联方向受益,研报观点/政策催化,中,中,客户/订单,互联芯片新品,无,B,观察
未提供,盛科通信,芯片互联,未提供,以太网交换芯片，超节点方向受益,研报观点/政策催化,弱,弱,客户/订单,交换芯片进展,无,C,观察
301165,锐捷网络,芯片互联,未提供,网络设备+交换机，超节点方向受益,研报观点/政策催化,弱,弱,客户/订单,交换机订单,无,C,观察
000938,紫光股份,芯片互联,未提供,ICT基础设施龙头，超节点方向受益,研报观点/政策催化,弱,弱,客户/订单,ICT订单,无,C,观察
301598,飞沃科技,商业航天,未提供,液体火箭发动机3D打印零部件核心卡位，可回收火箭三重增量受益,研报观点,中,中,订单/产能,3D打印订单+长十乙发射,无,A,利好
未提供,电科蓝天,商业航天,未提供,宇航电源龙头，国内市占率超50%，国网/千帆主力配套商,研报观点,中,中,订单/产能,卫星电源订单,无,B,观察
002428,云南锗业,商业航天,未提供,太空光伏锗衬底全球市占超70%，三结砷化镓太阳能电池核心基材,研报观点,中,中,订单/产能,卫星组网放量,无,A,利好
603698,航天工程,商业航天,未提供,航天一院唯一A股上市平台，存在资产注入预期，长十乙弹性标的,研报观点,强,强,事件,长十乙发射+资产注入进展,无,A,观察
未提供,美新科技,商业航天,未提供,控股四川星曜宇航，火箭贮箱赛道新锐（整流罩/箭体壳段/燃料贮箱）,研报观点,弱,弱,订单/产能,火箭贮箱订单突破,无,C,观察
001270,铖昌科技,商业航天,未提供,相控阵T/R芯片，卫星通信+商业航天受益,研报观点,弱,弱,订单/产能,卫星订单,无,C,观察
688270,臻镭科技,商业航天,未提供,射频前端芯片，卫星通信受益,研报观点,弱,弱,订单/产能,卫星订单,无,C,观察
未提供,信科移动,商业航天,未提供,卫星通信+5G，商业航天关注标的,研报观点,弱,弱,订单/产能,卫星通信订单,无,C,观察
300953,震裕科技,商业航天,未提供,精密模具+结构件，商业航天关注标的,研报观点,弱,弱,订单/产能,航天业务进展,无,C,观察
600699,均胜电子,商业航天,未提供,汽车电子+航天电子，商业航天关注标的,研报观点,弱,弱,订单/产能,航天业务进展,无,C,观察
688375,国博电子,商业航天,未提供,射频芯片，商业航天关注标的,研报观点,弱,弱,订单/产能,卫星订单,无,C,观察
300900,广联航空,商业航天,未提供,航空零部件+航天结构件，商业航天关注标的,研报观点,弱,弱,订单/产能,航天订单,无,C,观察
300503,昊志机电,商业航天,未提供,高端装备主轴+机器人关节，商业航天关注标的,研报观点,弱,弱,订单/产能,航天业务进展,无,C,观察
301217,铜冠铜箔,AI硬件/PCB,未提供,PCB上游铜箔，绑定Rubin二代布+HVLP3-4，Q3锐度最高,研报观点,中,中,涨价/订单,铜箔价格+订单,无,B,观察
688020,方邦股份,AI硬件/PCB,未提供,载体铜箔+ABF膜，绑定载板放量，明年锐度最高方向,研报观点,中,中,订单/产能,载板材料验证,无,B,观察
002916,深南电路,AI硬件/PCB,未提供,载板+类载板龙头，供不应求价格弹性+国产化0-1渗透,研报观点,强,中,涨价/产能,载板订单+价格,无,A,利好
688141,杰华特,AI硬件/电源,未提供,DrMOS芯片AI敞口最高，需求跟三次电源扩容至光模块/存储,研报观点,中,中,订单/产能,DrMOS订单,无,B,观察
688368,晶丰明源,AI硬件/电源,未提供,DrMOS芯片，电源管理IC，AI服务器电源受益,研报观点,中,弱,订单/产能,DrMOS订单,无,B,观察
688508,芯朋微,AI硬件/电源,未提供,DrMOS芯片，电源管理IC，AI服务器电源受益,研报观点,弱,弱,订单/产能,DrMOS订单,无,C,观察
002138,顺络电子,AI硬件/被动元件,未提供,钽电容龙头，AI服务器被动元件受益,研报观点,中,中,订单/产能,电容订单,无,B,观察
002484,江海股份,AI硬件/被动元件,未提供,铝电解+超容+MLPC，AI服务器电容受益,研报观点,弱,弱,订单/产能,电容订单,无,C,观察
300408,三环集团,AI硬件/被动元件,未提供,MLCC龙头+SOFC，AI服务器+燃料电池双线,研报观点,中,中,订单/产能,MLCC+SOFC订单,无,B,观察
002245,蔚蓝锂芯,AI硬件/BBU,未提供,BBU电池，虽无涨价弹性但迭代高ASP不变,研报观点,弱,弱,订单/产能,BBU订单,无,C,观察
688786,悦安新材,铜箔,未提供,铜箔兼具周期和成长，增长空间显著（原文未点名A股个股）,映射补全,弱,弱,涨价/产能,铜箔价格,无,C,观察
未提供,永鼎股份,光纤光缆,未提供,周末热门业绩公告股之一，原文仅提及未展开,业绩预告,中,中,业绩,详细业绩公告,无,B,观察
