任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-22,688702,盛科通信,半导体-华为韬定律,未提供,超节点交换机,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-23,688082,盛美上海,半导体-华为韬定律,未提供,混合键合设备,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-24,300456,赛微电子,半导体-华为韬定律,未提供,硅基微通道液冷适配韬定律3D堆叠散热，MEMS代工,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-25,002156,通富微电,半导体-华为韬定律,未提供,HBM+2.5D封装,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-26,600584,长电科技,半导体-华为韬定律,未提供,2.5D封装核心,新闻资讯；题材行业；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-27,688352,颀中科技,半导体-华为韬定律,未提供,2.5D封装,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-28,603019,中科曙光,半导体-CPU/算力,未提供,服务器整机，CPU涨价传导,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-29,688256,寒武纪,半导体-CPU/算力,未提供,国产算力芯片,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-30,000977,浪潮信息,半导体-CPU/算力,未提供,服务器整机,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-31,688041,海光信息,半导体-CPU/算力,未提供,国产CPU龙头，Intel涨价打开国产替代空间,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-32,002290,禾盛新材,半导体-CPU/算力,未提供,CPU产业链,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-33,000938,紫光股份,半导体-CPU/算力,未提供,服务器整机,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-34,002025,航天电器,半导体-CPU/算力,未提供,昇腾链连接器,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-35,688521,芯原股份,半导体-CPU/算力,未提供,先进制程IP,新闻资讯；机构研报,强,强,涨价/订单,Intel涨价后续落地验证,无,A,利好,未写入,,
ID-20260706-36,300522,世名科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-37,601208,东材科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-38,301373,凌玮科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-39,603186,华正新材,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-40,301252,同宇新材,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-41,688625,呈和科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-42,605589,圣泉集团,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-43,603256,宏和科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-44,301511,德福科技,半导体-CPU/材料,未提供,CPU上游材料供应商，Intel涨价传导下游需求,映射补全,弱,未体现,涨价传导,需确认与Intel/CPU产业链供货关系,无,C,观察,未写入,,
ID-20260706-45,000636,风华高科,半导体-MLCC涨价,未提供,国产MLCC龙头，AI专用高容MLCC持续涨价，本轮涨价周期至少延续至2027年末,新闻资讯；机构研报,强,中,涨价,7-9月加速上涨阶段跟踪华强北报价,无,A,利好,未写入,,
ID-20260706-46,300408,三环集团,半导体-MLCC涨价,未提供,国产MLCC核心厂商，受益MLCC全系列涨价、AI高容产品需求爆发,新闻资讯；机构研报,中,中,涨价,跟踪公司高端MLCC出货量,无,B,利好,未写入,,
ID-20260706-47,605376,博迁新材,半导体-MLCC涨价,未提供,MLCC镍粉等原材料供应商，涨价周期受益,映射补全,弱,未体现,涨价传导,需确认MLCC原材料客户,无,C,观察,未写入,,
ID-20260706-48,002859,洁美科技,半导体-MLCC涨价,未提供,MLCC产业链上游纸质载带龙头，MLCC涨价周期下游扩产需求增加,映射补全,弱,未体现,涨价传导,需确认MLCC客户结构,无,C,观察,未写入,,
ID-20260706-49,688409,富创精密,半导体-MFC/设备,未提供,子公司Caompart System为国内半导体MFC龙头,个股分析,中,未体现,订单/量产,MFC国产导入验证,无,B,观察,未写入,,
ID-20260706-50,300568,星源材质,半导体-MFC/设备,未提供,持股邦瓷电子13.5%，邦瓷电子为国内唯一半导体级压电陶瓷供应商(MFC核心零部件),个股分析,中,未体现,订单/量产,邦瓷电子半导体客户导入验证,无,B,观察,未写入,,
ID-20260706-51,688519,南亚新材,半导体-CCL,未提供,普通CCL涨价+高速CCL加速放量，M10在海外核心终端认证中。目标价442.08元,机构研报,中,中,涨价/订单,M10订单落地和新客户导入,无,B,利好,未写入,,
ID-20260706-52,301308,江波龙,存储,未提供,A股唯一覆盖全球八大存储原厂，H1业绩+210%,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,A,利好,未写入,,
ID-20260706-53,002916,深南电路,存储,未提供,存储封装基板龙头，订单锁定至2028年,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,A,利好,未写入,,
ID-20260706-54,688008,澜起科技,存储,未提供,DDR5内存接口芯片全球龙头，长鑫DRAM配套唯一国产接口,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,A,利好,未写入,,
ID-20260706-55,688525,佰维存储,存储,未提供,长鑫第一大NAND采购客户，全品类存储订单至2027年,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,B,利好,未写入,,
ID-20260706-56,603986,兆易创新,存储,未提供,NOR Flash全球第三，战略持股长鑫1.88%，订单至2027年,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,B,利好,未写入,,
ID-20260706-57,001309,德明利,存储,未提供,国产SSD主控隐形龙头，国内前三，订单至2026年底,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,B,利好,未写入,,
ID-20260706-58,000021,深科技,存储,未提供,独立DRAM封测龙头，承接长鑫60-70%委外订单,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,B,利好,未写入,,
ID-20260706-59,600183,生益科技,存储,未提供,CCL龙头，存储封装基板上游核心基材，订单至2027年,新闻资讯；题材行业,强,中,上市催化/订单,长鑫上市进度跟踪,无,B,利好,未写入,,
ID-20260706-60,603618,杭电股份,光纤光缆,未提供,H1净利润同比预增42.6-56.1倍，光纤光缆量价齐升AI数据中心建设拉动,公告,强,强,业绩,后续季度业绩持续性验证,无,S,利好,未写入,,
ID-20260706-61,600105,永鼎股份,光纤光缆,未提供,H1主业同比暴增1624%-2314%，Q2环比+114%-240%，AI光纤量价齐升超级周期落地,公告,强,强,业绩/订单,下半年海外算力订单持续落地验证,无,S,利好,未写入,,
ID-20260706-62,601869,长飞光纤,光纤光缆,未提供,光纤壁垒极高，今明年北美签长协价格好，港股总市值仅约1500亿人民币性价比突出,机构研报,强,中,订单,北美光纤长协执行验证,无,A,利好,未写入,,
ID-20260706-63,300499,高澜股份,液冷,未提供,Rubin强制液冷+华为超节点共振，Q2若5000万则H1≈6500万。在手订单14.56亿,机构研报,强,中,订单/量产,Q2业绩验证（若5000万兑现则高弹性确认）,无,A,利好,未写入,,
ID-20260706-64,002837,英维克,液冷,未提供,机房级液冷龙头，Rubin强制液冷+AI数据中心建设持续受益,映射补全,中,未体现,订单,液冷订单跟踪,无,B,观察,未写入,,
ID-20260706-65,300308,中际旭创,光通信,未提供,光模块全球龙一，订单持续上修+物料保供+高价值量新品加速,机构研报,强,强,订单/业绩,后续季度业绩验证、1.6T光模块出货,无,S,利好,未写入,,
ID-20260706-66,688048,长光华芯,光通信,未提供,光芯片国产崛起龙头，全品类布局，预期差最大弹性最大,机构研报,强,中,订单/量产,光芯片出货量及客户导入验证,无,A,利好,未写入,,
ID-20260706-67,688629,华丰科技,光通信-连接器,未提供,华为系高速连接器核心，国产超节点单卡配套5000-10000元,机构研报,中,中,订单,华为超节点出货验证,无,B,利好,未写入,,
ID-20260706-68,300843,胜蓝股份,光通信-连接器,未提供,阿里系高速连接器（莫仕背书），国产超节点弹性大,机构研报,中,中,订单,阿里超节点出货验证,无,B,利好,未写入,,
ID-20260706-69,002428,云南锗业,光通信-材料,未提供,Lumentum公开承认磷化铟衬底严重缺货，锗为光芯片关键材料,映射补全,弱,未体现,涨价传导,需确认磷化铟/锗衬底供货情况,无,C,观察,未写入,,
ID-20260706-70,301165,锐捷网络,AI数据中心,未提供,AI数据中心建设→交换机出货→利润兑现链跑通，H1业绩验证,公告,强,强,业绩/订单,后续AI交换机订单持续验证,无,A,利好,未写入,,
ID-20260706-71,300738,奥飞数据,AI数据中心,未提供,国内头部第三方IDC，2024底部2025拐点2026Q1集中兑现。REITs盘活存量,个股分析,中,未体现,业绩,后续季度算力机柜投产验证,无,B,观察,未写入,,
ID-20260706-72,002484,江海股份,被动元件,未提供,铝电解电容44亿+超级电容3.5亿+52.5%，MLPC突破服务器电源。26年净利9.12亿,个股分析,中,中,业绩/订单,MLPC服务器客户验证,无,B,利好,未写入,,
ID-20260706-73,002138,顺络电子,被动元件,未提供,国内电感龙头，磁珠/叠层电感全线紧缺涨价,映射补全,中,未体现,涨价传导,需确认电感涨价对公司业绩影响,无,C,观察,未写入,,
ID-20260706-74,300319,麦捷科技,被动元件,未提供,电感/磁珠供应商，受益AI服务器需求抢夺产能,映射补全,弱,未体现,涨价传导,需确认AI电感客户,无,C,观察,未写入,,
ID-20260706-75,688158,优刻得,云计算,未提供,CPU涨价传导虚拟化/云计算,映射补全,弱,未体现,涨价传导,需确认具体受益程度,无,C,观察,未写入,,
ID-20260706-76,688316,青云科技,云计算,未提供,CPU涨价传导云计算,映射补全,弱,未体现,涨价传导,需确认具体受益程度,无,C,观察,未写入,,
ID-20260706-77,300846,首都在线,云计算,未提供,CPU涨价传导云计算,映射补全,弱,未体现,涨价传导,需确认具体受益程度,无,C,观察,未写入,,
ID-20260706-78,000831,中国稀土,稀土,未提供,日本稀土短缺加剧，全球稀土供应紧张,映射补全,弱,未体现,涨价,稀土价格走势验证,无,C,观察,未写入,,
ID-20260706-79,600111,北方稀土,稀土,未提供,日本启动废旧空调提取稀土，全球稀土供应紧张加剧,映射补全,弱,未体现,涨价,稀土价格走势验证,无,C,观察,未写入,,
