任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-17,600584,长电科技,存储/先进封装,热榜,全球第三封测龙头，存储订单锁定至2027年，深度配套长鑫+华为韬定律先进封装,研报观点；产业链映射,强,强,订单/产能,长鑫上市进度及韬定律封装订单,无,A,利好,未写入,,
ID-20260706-18,002156,通富微电,存储/先进封装,未提供,国内少数具备HBM量产封装能力，存储在手订单约120亿，持续排产至2027年,研报观点；产业链映射,强,中,订单/产能,HBM封装订单交付,无,A,利好,未写入,,
ID-20260706-19,002916,深南电路,存储/PCB,未提供,高端封装基板龙头，存储订单锁定至2028年，载板类载板国产化0-1渗透核心标的,研报观点；产业链映射,强,中,订单/产能,载板放量及价格弹性,无,A,利好,未写入,,
ID-20260706-20,603986,兆易创新,存储,未提供,全球第三NOR Flash，持股长鑫1.88%，全系列存储订单排至2027年,研报观点；产业链映射,强,中,订单/客户,长鑫上市催化及NOR价格,无,A,利好,未写入,,
ID-20260706-21,688008,澜起科技,存储/算力,未提供,全球DDR5内存接口芯片龙头，长鑫DRAM配套唯一国产接口芯片供应商,研报观点；产业链映射,中,中,订单/客户,DDR5渗透率及AI服务器导入,无,B,观察,未写入,,
ID-20260706-22,000021,深科技,存储,未提供,国内最大独立DRAM封测商，承接长鑫60-70%委外封测，订单至2026年底,研报观点；产业链映射,中,中,订单/产能,长鑫上市催化订单,无,B,观察,未写入,,
ID-20260706-23,300525,佰维存储,存储,未提供,长鑫第一大NAND采购客户，全品类存储订单排产至2027年,研报观点；映射补全,中,弱,订单/客户,NAND价格及出货量,无,B,观察,未写入,,
ID-20260706-24,002484,江海股份,存储/电容,未提供,电容全维度布局，超级电容受益AI服务器UPS+MLPC突破服务器电源，2026年千万级营收,研报观点,中,中,订单/涨价,超级电容AI服务器导入进度,无,B,观察,未写入,,
ID-20260706-25,300223,北京君正,存储,未提供,利基存储芯片设计，存储涨价周期受益，但DRAM品类偏消费级,映射补全,弱,弱,涨价,Q3存储价格,无,C,观察,未写入,,
ID-20260706-26,300672,国科微,存储,未提供,存储控制器芯片设计，SSD主控受益于存储景气上行,映射补全,弱,弱,涨价/订单,主控芯片出货,无,C,观察,未写入,,
ID-20260706-27,603618,杭电股份,光纤光缆/AI基础设施,涨停预期,H1归母净利3.6-4亿同比+852%-958%，光纤光缆量价齐升驱动盈利大翻身,业绩预告；公告,强,强,业绩/涨价,Q3光纤价格及订单,无,S,利好,未写入,,
ID-20260706-28,600105,永鼎股份,光纤光缆/AI基础设施,涨停预期,H1主业利润5-7亿（剥离一次性收益后实际同比+1624%-2314%），Q2环比+114%-240%，AI光纤超级周期兑现,业绩预告；公告,强,强,业绩/涨价,下半年海外算力订单落地,无,S,利好,未写入,,
ID-20260706-29,601869,长飞光纤,光纤光缆/AI基础设施,未提供,光纤壁垒高，今明年与北美签大量高价长协，港股仅1500亿人民币估值性价比极高,研报观点,强,中,订单/涨价,北美长协执行及价格,无,A,利好,未写入,,
ID-20260706-30,688981,中芯国际,先进封装/半导体,未提供,韬定律先进制程受益，先进节点代工产能稀缺资产，国产算力底座,研报观点；产业链映射,强,强,产能/政策,Q2产能利用率及ASP,无,A,利好,未写入,,
ID-20260706-31,688041,海光信息,半导体/CPU,未提供,国产CPU龙头，Intel涨价打开替代窗口，Q3国内CPU缺货预期升温,研报观点；行业新闻,强,强,订单/国产替代,Q3信创及云厂商采购,无,A,利好,未写入,,
ID-20260706-32,300666,江丰电子,半导体材料,未提供,半导体靶材龙头，韬定律晶体管层+存储设备产业链双受益,研报观点；产业链映射,中,中,订单/产能,靶材出货量及新客户,无,B,观察,未写入,,
ID-20260706-33,688256,寒武纪,半导体/AI芯片,未提供,国产AI芯片龙头，Agent+推理需求爆发拉动国产算力芯片导入,研报观点；映射补全,强,中,订单/客户,Q2营收及客户拓展,无,B,观察,未写入,,
ID-20260706-34,688268,华特气体,半导体材料,未提供,半导体特气龙头，先进制程+先进封装扩产直接拉动电子特气需求,映射补全,弱,弱,订单/产能,特气出货量,无,C,观察,未写入,,
ID-20260706-35,301536,南亚新材,PCB/CCL,未提供,高速CCL进入加速放量期，M10层级率先推出，海外客户认证中，目标价442元,研报观点,中,中,订单/客户,M10订单落地及海外客户导入,无,B,观察,未写入,,
ID-20260706-36,300686,华正新材,PCB/CCL,未提供,载体铜箔+ABF膜布局，绑定载板放量弹性标的,研报观点；映射补全,弱,弱,订单/客户,载板放量进度,无,C,观察,未写入,,
ID-20260706-37,300207,欣旺达,PCB,未提供,PCB上游材料涨价受益，钻针涨价+玻璃纤维布涨价传导,映射补全,弱,弱,涨价,原材料价格趋势,无,C,观察,未写入,,
ID-20260706-38,002436,兴森科技,PCB/载板,未提供,载板和类载板国产化受益标的，供不应求带来价格弹性,研报观点；映射补全,中,中,订单/产能,载板产能释放,无,B,观察,未写入,,
ID-20260706-39,300350,飞沃科技,商业航天,未提供,液体火箭发动机3D打印零部件卡位，可回收火箭三重增量受益,研报观点,中,中,订单/发射,长十乙试飞及后续订单,无,B,观察,未写入,,
ID-20260706-40,002428,云南锗业,商业航天,未提供,光伏级锗衬底全球市占超70%，三结砷化镓空间太阳能电池基材龙头,研报观点,中,中,订单/组网,卫星组网放量节奏,无,B,观察,未写入,,
ID-20260706-41,688060,航天工程,商业航天,未提供,航天一院唯一A股上市平台，存在资产注入预期，长十乙催化弹性标的,研报观点,中,强,事件/政策,7月10日长十乙发射,无,B,观察,未写入,,
ID-20260706-42,300499,高澜股份,液冷/算力基础设施,未提供,Rubin强制液冷+华为超节点共振，Q2若5000万利润兑现，弹性居国产算力液冷首位,研报观点,中,中,订单/业绩,中报利润验证（Q2能否5000万）,无,B,观察,未写入,,
ID-20260706-43,300456,赛微电子,液冷/先进封装,未提供,硅基微通道液冷唯一量产厂商，适配韬定律3D堆叠散热，已为华为代工MEMS-OCS光交换芯片,研报观点；映射补全,弱,弱,客户/验证,硅基微通道量产进度,仅送样/未产品化,C,观察,未写入,,
ID-20260706-44,300408,三环集团,MLCC/被动元件,未提供,MLCC龙头，AI服务器高容MLCC涨价周期延续至2027+，产能紧缺,行业新闻；映射补全,中,中,涨价/产能,Q3涨价幅度及出货,无,B,观察,未写入,,
ID-20260706-45,002138,顺络电子,被动元件,未提供,钽电容龙头+叠层电感受益AI服务器需求，产能紧缺涨价传导,行业新闻；映射补全,中,中,涨价/订单,电感电容涨价落地,无,B,观察,未写入,,
ID-20260706-46,688234,天岳先进,碳化硅/半导体,未提供,2026年出货70万片目标，8英寸市占率50%+，AI服务器为需求元年，预计全年盈亏平衡,研报观点,中,中,订单/业绩,Q3出货及盈亏验证,无,B,观察,未写入,,
ID-20260706-47,300308,中际旭创,光通信,未提供,全球光模块龙一，订单始终在上修，高价值量新品加速推出,研报观点,强,强,订单/业绩,Q3订单及800G/1.6T出货,无,A,利好,未写入,,
ID-20260706-48,688048,长光华芯,光通信,未提供,光芯片全品类布局，中国光芯片全球份额15%有望升至50%+，预期差最大,研报观点,中,中,订单/国产替代,200G EML及CW激光器突破,无,B,观察,未写入,,
ID-20260706-49,688629,华丰科技,光通信/连接器,未提供,国产超节点高速连接器核心供应商（华为系），单卡配套5000-1万元，壁垒高净利率高,研报观点,中,中,订单/客户,超节点连接器放量,无,B,观察,未写入,,
ID-20260706-50,603019,中科曙光,算力/服务器,未提供,国产服务器龙头，Intel CPU涨价+国产替代双驱动，海光信息深度协同,研报观点；产业链映射,中,中,订单/国产替代,Q3信创服务器招标,无,B,观察,未写入,,
ID-20260706-51,000977,浪潮信息,算力/服务器,未提供,国内AI服务器龙头，Intel CPU涨价传导整机成本上行，具备稳定供货渠道受益,映射补全,中,弱,订单/涨价,Q3服务器出货,无,B,观察,未写入,,
ID-20260706-52,300738,奥飞数据,AIDC/算力,未提供,国内头部第三方IDC，2026Q1算力交付集中兑现，DeepSeek驱动云厂商CapEx上行,研报观点；个股研究,弱,弱,订单/业绩,Q2机柜上架率及算力租赁收入,无,C,观察,未写入,,
ID-20260706-53,002460,赣锋锂业,锂矿,未提供,美国国防部碳酸锂战略收储，五年1.62万吨，短期催化级别有限但预期边际改善,行业新闻；映射补全,弱,弱,涨价/事件,7月17日首批收储开标,无,C,观察,未写入,,
ID-20260706-54,603259,药明康德,创新药/CXO,未提供,CXO龙头，内外需求共振+细胞基因治疗审评优化政策催化,行业新闻；映射补全,弱,弱,政策/订单,FDA审批及Q2订单,无,C,观察,未写入,,
ID-20260706-55,300400,劲拓股份,玻璃基板,未提供,三星+住友合资玻璃基板2027年投产，长期产业趋势但短期不贡献业绩,映射补全,弱,弱,产业趋势,玻璃基板产业化进度,短期不贡献收入利润,C,观察,未写入,,
ID-20260706-56,002384,东山精密,光通信/PCB,未提供,光芯片10倍利好预期+PCB业务受益AI算力，韬定律光互联核心标的,研报观点；产业链映射,中,中,订单/客户,光互联方案落地及PCB订单,无,B,观察,未写入,,
