股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
300308,中际旭创,光通信,未提供,全球光模块龙头，订单持续上修，高价值量新品加速推出，AI光通信核心受益,研报,强,强,订单；业绩,Q3订单指引；1.6T光模块进度,无,S,利好
600105,永鼎股份,光通信,未提供,H1主业净利同比增1624%-2314%，光棒光纤光芯片全产业链，业绩兑现力度碾压同行,公告；业绩预告,强,强,业绩,Q3订单持续性；海外算力订单落地,无,S,利好
688048,长光华芯,光通信,未提供,国产光芯片龙头，磷化铟衬底优势+高端品突破，全球份额有望从15%升至50%,研报,中,中,订单；产能,200G EML量产进度；北美客户导入,无,A,利好
601869,长飞光纤,光通信,未提供,光纤龙头，北美长协价格优，AI算力中心建设拉动光纤量价齐升,研报,强,中,订单；业绩,北美订单交付；光纤价格走势,无,A,利好
688629,华丰科技,光通信,未提供,华为系高速连接器核心供应商，国产超节点大幅提升连接器需求,研报,中,中,客户；订单,超节点出货量；连接器份额,无,A,利好
300843,胜蓝股份,光通信,未提供,阿里系高速连接器核心标的，莫仕强力背书，国产算力连接器弹性品种,研报,中,中,客户；订单,阿里算力建设进度；莫仕合作深化,无,B,利好
688498,源杰科技,光通信,未提供,国产光芯片标的，全光互联方向受益华为韬定律2.0系统层级推进,映射补全,弱,未体现,客户；产品,光芯片送样验证进度,无,C,观察
688256,寒武纪,AI芯片,未提供,国产AI芯片龙头，Agent落地驱动推理需求爆发，国产算力发展临界点,研报,强,强,产品；订单,新品量产进度；互联网客户导入,无,A,利好
688981,中芯国际,AI芯片,未提供,国内先进制程晶圆代工龙头，华为韬定律2.0利好代工环节，国产替代核心,研报,强,中,产能；政策,先进制程良率；产能扩张节奏,无,A,利好
688347,华虹公司,AI芯片,未提供,特色工艺晶圆代工龙头，受益国产芯片制造产能扩张,研报,中,弱,产能,产能利用率；ASP走势,无,B,利好
688521,芯原股份,AI芯片,未提供,芯片设计服务龙头，AI ASIC定制化趋势受益，先进制程设计能力稀缺,研报,中,弱,客户；订单,AI ASIC项目落地；客户拓展,无,B,利好
002025,航天电器,AI芯片,未提供,华为昇腾链核心连接器供应商，国产算力建设加速受益,研报,弱,未体现,客户；订单,昇腾出货量；连接器订单,无,B,观察
002371,北方华创,先进封装,未提供,半导体设备平台龙头，韬定律2.0利好TSV刻蚀/薄膜沉积/钨铜填充等环节,研报,强,中,订单；业绩,Q3订单；先进封装设备出货,无,A,利好
688012,中微公司,先进封装,未提供,刻蚀设备龙头，TSV高深宽比刻蚀核心受益华为韬定律技术路线,研报,中,中,订单,刻蚀设备出货量；3D封装订单,无,A,利好
688072,拓荆科技,先进封装,未提供,薄膜沉积+PECVD龙头，混合键合设备核心供应商，受益3D堆叠扩产,研报,中,中,订单；产能,混合键合设备出货；新客户导入,无,A,利好
688082,盛美上海,先进封装,未提供,半导体清洗设备龙头，混合键合环节核心设备供应商,映射补全,中,弱,订单,混合键合设备验证进度,无,B,观察
688120,华海清科,先进封装,未提供,CMP设备龙头，3D堆叠多层晶圆平坦化核心设备，受益先进封装扩产,研报,中,弱,订单,CMP设备出货量；新客户,无,B,利好
688019,安集科技,先进封装,未提供,CMP抛光液+清洗液龙头，先进封装材料国产替代核心标的,研报,弱,未体现,产品,先进封装材料验证；客户导入,无,B,利好
002409,雅克科技,先进封装,未提供,前驱体+特气龙头，先进制程材料供应商，受益3D堆叠材料需求提升,研报,弱,未体现,产品,前驱体新产品验证；海外客户拓展,无,B,利好
300346,南大光电,先进封装,未提供,光刻胶+前驱体双主线，半导体材料国产替代核心标的,研选标签,弱,未体现,产品,ArF光刻胶验证进度,无,B,利好
603650,彤程新材,先进封装,未提供,半导体光刻胶+抛光垫龙头，受益先进封装材料国产化,研选标签,弱,未体现,产品,光刻胶客户导入；新品放量,无,B,利好
688362,甬矽电子,先进封装,未提供,先进封装新锐，2.5D/3D封装布局，受益华为韬定律封测需求提升,研报,弱,未体现,产能；客户,先进封装产能建设；大客户导入,无,B,利好
688519,南亚新材,PCB-CCL,未提供,高速CCL加速放量，普通CCL涨价持续，M8-M10层级海外AI大客户拓展，目标价442元,研报,中,中,涨价；订单,M10订单落地；海外客户导入进度,无,A,利好
600183,生益科技,PCB-CCL,未提供,全球覆铜板龙头，存储封装基板上游核心基材供应商，订单持续至2027年,研报,中,弱,涨价；订单,CCL价格走势；高频高速产品占比,无,B,利好
600549,厦门钨业,PCB-CCL,未提供,PCB钻针棒材供应商，海外供给收缩+Rubin放量拉动钻针涨价，国产替代机遇,研报；行业新闻,中,弱,涨价,钻针涨价落地幅度；订单量变化,无,B,利好
603256,宏和科技,PCB-CCL,未提供,玻璃纤维布龙头，富乔工业涨价30%直接利好，PCB上游材料涨价趋势明确,研报；行业新闻,中,弱,涨价,玻纤布价格走势；Q3订单,无,B,利好
000657,中钨高新,PCB-CCL,未提供,PCB钻针棒材供应商，受益海外供给收缩+钻针涨价预期,映射补全,弱,未体现,涨价,钻针出货量；涨价传导,无,C,观察
688257,新锐股份,PCB-CCL,未提供,PCB钻针棒材供应商，国产替代逻辑受益海外供给收缩,映射补全,弱,未体现,涨价,钻针订单；国产替代进度,无,C,观察
603186,华正新材,PCB-CCL,未提供,CCL制造商，CPU涨价+Chiplet封装拉动上游覆铜板需求，涨价传导受益,研报,弱,未体现,涨价,CCL价格；高频产品出货,无,C,利好
002484,江海股份,MLCC-被动元件,未提供,电容全品类布局，MLPC突破服务器市场，超级电容深度受益AI数据中心供电升级,研报,中,弱,订单；业绩,MLPC服务器订单；超级电容营收放量,无,B,利好
000636,风华高科,MLCC-被动元件,未提供,国内MLCC龙头，村田/三星涨价+日韩产能倾斜AI，国产MLCC替代窗口打开,映射补全,中,中,涨价；客户,高容MLCC量产进度；涨价传导,无,B,观察
300408,三环集团,MLCC-被动元件,未提供,国产MLCC+陶瓷基座龙头，被动元件涨价周期受益，高容产品突破中,映射补全,弱,未体现,涨价,高容MLCC进展；客户验证,无,C,观察
300499,高澜股份,液冷散热,未提供,Rubin强制液冷+华为超节点共振，冷板/浸没/CDU全布局，Q2利润或达5000万,研报,中,中,订单；业绩,Q2中报利润；AI液冷订单交付,无,A,利好
300456,赛微电子,液冷散热,未提供,硅基微通道液冷唯一可量产厂商，适配华为韬定律3D堆叠散热，MEMS-OCS已为华为代工,研报；行业新闻,中,中,产品；客户,硅基微通道量产进度；华为订单落地,无,A,利好
002837,英维克,液冷散热,未提供,数据中心温控龙头，机房级液冷受益AI算力建设，CDU/冷板方案,映射补全,弱,未体现,订单,液冷收入占比；新订单落地,无,B,观察
601100,恒立液压,机器人,未提供,T链机器人核心供应商，主业液压件王者在机器人硬件领域具备技术+生产+资金全优势,研报,强,中,订单；产能,特斯拉量产爬坡；机器人订单金额,无,S,利好
002850,科达利,机器人,未提供,T链机器人核心供应商，结构件龙头跨界机器人硬件，主业稳健+机器人弹性双击,研报,强,中,订单；产能,机器人结构件订单；量产交付,无,S,利好
603009,北特科技,机器人,未提供,T链丝杠供应商，大小丝杠均下订单，海外建厂顺利，量产爬坡核心受益,研报,中,中,订单,丝杠出货量；海外工厂投产,无,A,利好
601689,拓普集团,机器人,未提供,T链机器人核心供应商，执行器/结构件龙头，空间大于三花,研报,强,中,订单；产能,机器人营收占比；量产交付,无,A,利好
002050,三花智控,机器人,未提供,T链机器人热管理+执行器供应商，机器人量产爬坡核心受益,研报,强,中,订单,机器人订单；执行器量产,无,A,利好
688655,儒竞科技,机器人,未提供,T链机器人驱控供应商，单台价值量约1万元，市值最小弹性最大,研报,中,强,订单,驱控量产交付；国产链客户拓展,无,A,利好
603119,浙江荣泰,机器人,未提供,T链丝杠供应商，大小丝杠均下订单，海外建厂推进,研报,中,弱,订单,丝杠订单量；海外工厂进度,无,B,利好
300969,恒帅股份,机器人,未提供,T链电机供应商，手部型号拿全，身体亦有突破，微型电机核心标的,研报,中,弱,订单,电机订单放量；新品验证,无,B,利好
688322,奥比中光,机器人,未提供,国内唯一3D视觉传感器龙头，机器人视觉格局极佳，T链核心供应商,研报,中,弱,产品；客户,机器人视觉订单；特斯拉合作深化,无,B,利好
300952,恒勃股份,机器人,未提供,PEEK材料运动型功能件龙头，机器人轻量化核心材料供应商,研报,弱,未体现,产品,PEEK材料量产；机器人客户导入,无,B,利好
605488,福莱新材,机器人,未提供,电子皮肤核心供应商，机器人触觉传感关键环节,研报,弱,未体现,产品,电子皮肤送样验证；量产进度,无,C,利好
002931,锋龙股份,机器人,未提供,国内机器人本体潜在标的，机器人量产时代受益国内本体需求爆发,研报,弱,未体现,产品,机器人本体出货量；客户拓展,无,C,利好
300124,汇川技术,机器人,未提供,国产机器人伺服/驱控龙头，特斯拉量产带动产业链需求扩散,映射补全,弱,未体现,产品,机器人伺服出货；T链导入可能,无,C,观察
002046,国机精工,金刚石散热,未提供,金刚石散热材料供应商，向N客户供应4英寸产品，AI芯片散热刚需,研报,弱,未体现,产品；客户,批量订单落地；N客户订单放量,无,C,利好
600172,黄河旋风,金刚石散热,未提供,金刚石散热材料供应商，向华南客户送样，金刚石铜/铝产品布局,研报,弱,未体现,产品,送样验证结果；客户订单,无,C,利好
688028,沃尔德,金刚石散热,未提供,金刚石散热材料供应商，向T客户送样，超硬材料加工经验深厚,研报,弱,未体现,产品,送样验证结果；量产进度,无,C,利好
600460,士兰微,功率半导体,未提供,多家功率半导体公司上调产品价格10%-25%，IDM龙头受益行业涨价周期,公告；行业新闻,中,中,涨价,涨价幅度与持续性；产能利用率,无,A,利好
688469,芯联集成,功率半导体,未提供,功率半导体代工龙头，产品涨价10%-25%直接利好营收与毛利,行业新闻,中,弱,涨价,代工价格走势；客户订单,无,B,利好
300373,扬杰科技,功率半导体,未提供,功率器件IDM厂商，产品涨价周期受益，新能源+汽车电子需求拉动,行业新闻,中,弱,涨价,涨价落地幅度；新产品放量,无,B,利好
688270,臻镭科技,商业航天,未提供,千帆极轨13组成功发射，卫星互联网组网加速，相控阵芯片核心受益,映射补全,弱,未体现,事件；订单,卫星发射计划；芯片订单,无,B,观察
600118,中国卫星,商业航天,未提供,卫星制造龙头，千帆星座组网加速+FCC规则修订利好卫星互联网产业链,映射补全,弱,未体现,事件,卫星发射排期；星座建设进度,无,B,观察
002460,赣锋锂业,锂矿资源,未提供,美国国防部启动碳酸锂战略收储5年1.62万吨，锂矿供需格局边际改善,映射补全,中,弱,事件；涨价,碳酸锂价格反弹幅度；收储落地节奏,无,B,观察
002466,天齐锂业,锂矿资源,未提供,碳酸锂战略收储催化供需改善预期，上游锂矿资源龙头,映射补全,弱,未体现,事件,锂价走势；收储执行细节,无,C,观察
300738,奥飞数据,数据中心,未提供,AIDC稳增长标杆，深度绑定头部互联网云厂商，算力机柜投产+REITs盘活资产,研报,弱,未体现,订单；业绩,算力机柜投产进度；大客户订单,无,B,利好
688158,优刻得,数据中心,未提供,云计算+虚拟化标的，CPU涨价周期下国产算力虚拟化需求提升,研报,弱,未体现,产品,虚拟化产品营收；客户拓展,无,C,利好
300846,首都在线,AI算力服务,未提供,云计算+虚拟化标的，CPU涨价周期下国产算力服务需求提升,研报,弱,未体现,产品,算力服务营收；客户拓展,无,C,利好
688316,青云科技,AI算力服务,未提供,云计算+虚拟化标的，国产算力建设加速利好算力服务需求,研报,弱,未体现,产品,算力服务营收；客户拓展,无,C,利好
301165,锐捷网络,AI网络设备,周涨幅49.43%,AI数据中心建设→交换机出货→利润兑现链条跑通，中报预告验证高景气,公告；盘面,强,强,业绩,交换机订单持续性；毛利率走势,无,A,利好
300568,星源材质,新材料-压电陶瓷,未提供,持股邦瓷电子13.5%，邦瓷为国内唯一半导体级压电陶瓷供应商，MFC核心零部件,研报,弱,未体现,产品；客户,邦瓷营收增长；持股比例变化,无,B,利好
002173,创新医疗,脑机接口,未提供,全球首款忆阻器神经动力学芯片发布，脑机接口产业化预期升温,映射补全,弱,未体现,事件,脑机接口政策催化；临床试验进展,无,C,观察
301293,三博脑科,脑机接口,未提供,全球首款忆阻器神经动力学芯片发布，脑机接口医疗应用方向受益,映射补全,弱,未体现,事件,脑机接口临床进展；政策催化,无,C,观察
600519,贵州茅台,白酒消费,未提供,酒业内参显示7月5日主要大单品终端零售均价整体明显反弹，消费复苏信号,映射补全,弱,未体现,事件,白酒批价走势；中秋国庆备货,无,C,观察
