任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-11,601689,拓普集团,人形机器人,热榜,T机器人总成环节核心供应商，汽车底盘龙头跨界机器人；拓普空间更大，总成壁垒高,研报代表股,强,强,量产/订单,T量产带来的总成订单规模,无,A,利好,未写入,,
ID-20260706-12,002050,三花智控,人形机器人,热榜,T机器人总成+热管理核心供应商，家电/汽零龙头跨界机器人，量产规模效应突出,研报代表股,中,强,量产/订单,T量产订单规模,无,A,利好,未写入,,
ID-20260706-13,301139,斯菱智驱,人形机器人,未提供,T机器人精密传动零部件供应商，原汽车传动领域积累，向机器人丝杠/减速器延伸,研报代表股,弱,未体现,量产/订单,T链产品验证进度,无,B,观察,未写入,,
ID-20260706-14,603211,晋拓股份,人形机器人,未提供,与宇树科技成立合资公司（唯一合资方），宇树IPO闪电过会直接受益，合作深度独一档,公告精选；小作文,中,未体现,事件（IPO）,宇树IPO发行定价及合资公司业务进展,无,A,观察,未写入,,
ID-20260706-15,688017,绿的谐波,人形机器人,未提供,国产谐波减速器龙头，合资设立人形机器人公司；主业谐波减速器国产替代+机器人需求双驱动,公告精选,中,中,订单/产能,合资公司进展及人形机器人减速器出货,无,A,利好,未写入,,
ID-20260706-16,603730,岱美股份,人形机器人,未提供,或为T机器人电子皮肤供应商，汽车内饰龙头向机器人触觉传感器延伸，需验证,映射补全,弱,未体现,需验证,是否进入T供应链,无,C,观察,未写入,,
ID-20260706-17,301119,正强股份,人形机器人,未提供,汽车精密零部件厂商，或切入T机器人供应链；具体环节与订单确认需跟踪,映射补全,未体现,未体现,需验证,是否进入T供应链体系,无,C,观察,未写入,,
ID-20260706-18,301308,江波龙,存储/芯片产业链,涨停,H1净利16-18亿（同比约40倍），Q2单季12-14亿创历史；覆盖全球8大存储原厂，雷克沙放量,业绩预告；涨停事件,强,强,业绩,Q3能否持续高增、存储价格走势,无,S,利好,未写入,,
ID-20260706-19,301165,锐捷网络,存储/芯片产业链,涨停/连板,中报预告扣非净利1.1-1.5倍增长，AI数据中心交换机出货放量；首个跑通AI→交换机→利润,业绩预告；涨停事件；连板梯队,强,强,业绩/订单,Q3交换机订单趋势,无,S,利好,未写入,,
ID-20260706-20,603618,杭电股份,光通信/光纤,涨停,H1净利4-4.5亿（同比增8-10倍），光纤光缆满产满销单价高位；AI算力中心建设拉爆需求,业绩预告；涨停事件,强,强,业绩/产能,Q3产能及价格走势,无,S,利好,未写入,,
ID-20260706-21,600105,永鼎股份,光通信/光纤,未提供,H1光通信主业利润5-7亿（剔除资产处置），同比暴增1624%-2314%；Q2超机构全年预期,业绩预告,强,中,业绩/订单,下半年海外算力订单落地,无,S,利好,未写入,,
ID-20260706-22,601869,长飞光纤,光通信/光纤,热榜,全球光纤龙头，北美签长期高价长协；棒纤缆垂直一体化壁垒极高，新玩家扩产多为无效产能,研报代表股,中,中,订单/业绩,北美长协交付及价格,无,A,利好,未写入,,
ID-20260706-23,603986,兆易创新,存储/芯片产业链,热榜,全球第三NOR Flash，战略持股长鑫存储1.88%；全系列存储订单至2027年，国产替代核心标的,研报代表股；热榜,强,强,业绩/事件（长鑫上市）,长鑫上市进度,无,A,利好,未写入,,
ID-20260706-24,688525,佰维存储,存储/芯片产业链,热榜,长鑫/长存第一大NAND采购客户，嵌入式存储龙头；全品类订单排至2027年，AI终端+车载放量,研报代表股；热榜,强,强,订单/事件（长鑫上市）,长鑫上市时间及采购量变化,无,A,利好,未写入,,
ID-20260706-25,001309,德明利,存储/芯片产业链,热榜,国产SSD主控芯片国内前三，存储模组大量采用其主控；订单至2026年底，国产存储主控稀缺,研报代表股,中,中,订单,主控芯片在AI服务器端的突破,无,A,利好,未写入,,
ID-20260706-26,688008,澜起科技,存储/芯片产业链,热榜,全球DDR5内存接口芯片绝对龙头，长鑫DRAM唯一国产接口供应商；单台AI服务器多颗,研报代表股,中,中,订单/业绩,DDR5渗透率提升节奏,无,A,利好,未写入,,
ID-20260706-27,000021,深科技,存储/芯片产业链,未提供,国内最大独立DRAM封测商，沛顿科技承接长鑫60-70%委外封测；同时为希捷独家磁头供应商,研报代表股,中,中,订单/事件（长鑫上市）,长鑫上市后的封测订单增量,无,A,利好,未写入,,
ID-20260706-28,600584,长电科技,存储/芯片产业链,未提供,全球第三、国内第一封测龙头，存储订单锁定至2027；进三星/美光/SK海力士全球供应链,研报代表股,中,中,订单/业绩,长鑫上市对封测订单拉动,无,A,利好,未写入,,
ID-20260706-29,002156,通富微电,存储/芯片产业链,未提供,国内少数具备HBM高带宽内存量产封装能力的内资厂商，存储在手订单约120亿元至2027年,研报代表股,中,中,订单/产能,HBM封装产能利用率及订单,无,A,利好,未写入,,
ID-20260706-30,002916,深南电路,存储/芯片产业链,未提供,国内高端封装基板龙头，存储专用基板订单锁定至2028；华为/长鑫核心配套供应商,研报代表股,中,中,订单/产能,存储基板扩产进度,无,A,利好,未写入,,
ID-20260706-31,688041,海光信息,存储/芯片产业链,热榜,国产服务器CPU稀缺标的，英特尔高端至强涨价1495美元直接催化；信创+AI双轮驱动,涨价消息；研报代表股,强,强,政策/业绩,CPU价格传导与国产替代进展,无,S,利好,未写入,,
ID-20260706-32,300308,中际旭创,光通信/光纤,热榜,全球光模块龙头，订单持续上修物料保供好于预期；高价值量新品加速推出，光通信最有定价权,研报代表股,强,中,业绩/订单,Q2业绩是否超预期,无,A,利好,未写入,,
ID-20260706-33,688048,长光华芯,存储/芯片产业链,未提供,中国光芯片技术领先全品类布局；磷化铟衬底优势+高端品突破，三年内或主导200G EML全球,研报代表股,中,中,产品/订单,光芯片出货量及海外客户导入,无,A,利好,未写入,,
ID-20260706-34,688629,华丰科技,存储/芯片产业链,未提供,华为超节点高速连接器核心供应商（单卡5000-1万元），NPO+光无源器件加持，壁垒高净利高,研报代表股,中,中,订单,超节点扩大带来的连接器订单,无,A,利好,未写入,,
ID-20260706-35,300843,胜蓝股份,存储/芯片产业链,未提供,阿里超节点高速连接器核心供应商，莫仕强力背书；受益国产超节点对连接器需求大幅提升,研报代表股,弱,中,订单,阿里超节点连接器订单落地,无,B,观察,未写入,,
ID-20260706-36,688981,中芯国际,存储/芯片产业链,热榜,国内先进制程唯一龙头，华为韬定律V2推动3D堆叠需求；LogicFolding需先进制程+3D封装,研报代表股,强,中,产能/业绩,先进制程产能利用率,无,A,利好,未写入,,
ID-20260706-37,002371,北方华创,存储/芯片产业链,未提供,国内半导体设备综合龙头，AI芯片扩产+存储扩产双重拉动；覆盖刻蚀/薄膜/清洗/炉管关键环节,映射补全,中,中,订单/业绩,设备订单及交付,无,A,观察,未写入,,
ID-20260706-38,688072,拓荆科技,存储/芯片产业链,未提供,华为韬定律V2核心受益，混合键合设备直接对应3D堆叠工艺；LogicFolding对键合设备刚需,研报代表股,弱,未体现,订单,华为及国内晶圆厂键合设备订单,无,B,观察,未写入,,
ID-20260706-39,300499,高澜股份,存储/芯片产业链,未提供,Rubin强制液冷+华为超节点共振，Q2若5000万利润兑现弹性最大；在手订单14.56亿+特高压托底,研报代表股,弱,未体现,业绩,Q2利润是否达5000万,无,B,观察,未写入,,
ID-20260706-40,300408,三环集团,存储/芯片产业链,热榜,国产MLCC龙头，高容MLCC涨价加速（日涨5%）；产能向AI服务器专用切换，国产份额不足10%,涨价消息,强,强,涨价/产能,Q3 MLCC出货价格及利润率,无,A,利好,未写入,,
ID-20260706-41,002138,顺络电子,存储/芯片产业链,未提供,国内电感龙头，AI服务器电感+钽电容需求爆发；磁珠/叠层电感缺货涨价传导至全线被动元件,涨价消息,中,中,涨价/订单,电感/钽电容涨价幅度,无,B,观察,未写入,,
ID-20260706-42,002484,江海股份,存储/芯片产业链,未提供,铝电解牛角电容基本盘稳固，超级电容同比增52%受益服务器UPS；MLPC突破服务器电源，电极箔自给率高,研报代表股,弱,未体现,业绩/订单,MLPC在服务器电源端的批量导入,无,B,观察,未写入,,
ID-20260706-43,301232,飞沃科技,商业航天,涨停,3D打印商业航天零部件核心供应商，千帆星座发射直接受益；航天零部件轻量化+复杂结构独家优势,涨停事件,中,强,订单,千帆等星座后续发射订单,无,A,利好,未写入,,
ID-20260706-44,688552,电科蓝天,商业航天,涨停,宇航电源核心供应商，依托航天一院平台；卫星/火箭电源需求刚性，发射密度提升直接拉动,涨停事件；连板梯队,中,强,订单,后续发射任务电源订单,无,A,利好,未写入,,
ID-20260706-45,603698,航天工程,商业航天,涨停,航天一院唯一上市平台，商业航天产业链核心标的；长征系列火箭密集发射提升资产整合预期,涨停事件,中,强,事件/订单,一院资产证券化进展,无,A,利好,未写入,,
ID-20260706-46,301588,美新科技,商业航天,未提供,商业航天火箭贮箱供应商，结构件轻量化是火箭复用和载荷提升关键；或受益发射密度大幅提高,映射补全,弱,未体现,订单,火箭贮箱订单落地,无,C,观察,未写入,,
ID-20260706-47,002428,云南锗业,商业航天,未提供,锗衬底是太空光伏电池关键材料，国内锗资源龙头；卫星星座大规模组网推升太空光伏需求,映射补全,弱,未体现,需验证,锗衬底在卫星光伏的需求量级,无,C,观察,未写入,,
ID-20260706-48,300347,泰格医药,创新药/CXO,未提供,细胞与基因治疗政策绿灯，临床CRO龙头最直接受益；创新药审批加速预期推动CXO估值修复,政策催化,中,中,政策/订单,政策细则落地后临床试验订单变化,无,B,观察,未写入,,
ID-20260706-49,002245,蔚蓝锂芯,其他,未提供,AI数据中心BBU备用电池供应商，单GW级数据中心需大量BBU；叠加锂电主业修复，双轮驱动,映射补全,弱,未体现,订单,数据中心BBU订单确认,无,C,观察,未写入,,
ID-20260706-50,688519,南亚新材,其他,未提供,普通CCL持续涨价+高速CCL加速放量（M6-M10层级）；海外AI大客户在认证中，估值弹性大,研报代表股,弱,未体现,业绩/订单,M10层级海外认证结果,无,B,观察,未写入,,
ID-20260706-51,688234,天岳先进,其他,未提供,国产碳化硅衬底龙头，扩产+AI数据中心电源需求拉动；车规级碳化硅需求同步高增,映射补全,弱,未体现,产能/订单,碳化硅衬底出货量及价格,无,C,观察,未写入,,
ID-20260706-52,300568,星源材质,其他,未提供,持股邦瓷电子13.5%（半导体MFC核心压电陶瓷国内唯一认证），MFC国产化急迫，邦瓷28年利润或达4.5亿,研报代表股,弱,未体现,需验证,邦瓷MFC订单及业绩兑现,低占比（仅持股）,C,观察,未写入,,
