任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-27,688498,源杰科技,光芯片,未提供,国产光芯片供应商，受益全光互联和国产替代趋势，华为韬定律系统层核心芯片,研报；产业链映射,中,中,光芯片国产替代,产品量产及客户导入,无,B,观察,未写入,,
ID-20260706-28,688629,华丰科技,连接器,未提供,华为系高速连接器核心供应商，国产超节点单卡配套5000-1万元，NPO+光无源器件加持,研报；产业链调研,中,强,华为超节点连接器订单,超节点量产规模,无,A,利好,未写入,,
ID-20260706-29,300843,胜蓝股份,连接器,未提供,阿里系高速连接器重点推荐，莫仕强力背书，国产超节点连接器弹性品种,研报；产业链调研,中,中,阿里系连接器订单,阿里超节点进展,无,B,利好,未写入,,
ID-20260706-30,688041,海光信息,CPU/服务器,未提供,国产CPU龙头，英特尔CPU涨价驱动国产替代加速，服务器CPU量价齐升直接受益,研报；行业新闻,强,强,国产CPU渗透率提升,运营商/信创招标份额,无,A,利好,未写入,,
ID-20260706-31,603019,中科曙光,CPU/服务器,未提供,国产服务器龙头，CPU涨价传导整机采购成本上行，利好具备稳定供货渠道的整机厂商,研报；行业新闻,中,中,信创服务器订单,成本传导能力,无,B,利好,未写入,,
ID-20260706-32,000977,浪潮信息,CPU/服务器,未提供,国内服务器龙头，CPU涨价周期下整机厂商定价权提升，AI服务器需求持续旺盛,研报；行业新闻,中,中,AI服务器出货,毛利率趋势,无,B,利好,未写入,,
ID-20260706-33,688256,寒武纪,AI芯片,未提供,国产AI芯片龙头，东证推荐率先完成国产适配的算力芯片厂商，国产替代核心,研报,中,强,AI芯片订单,新品量产及客户导入,无,A,利好,未写入,,
ID-20260706-34,688981,中芯国际,半导体制造,未提供,华为韬定律V2利好先进制程+3D封装，国产先进制程核心制造平台，受惠logic folding技术路线,研报；行业新闻,强,强,先进制程产能,9月麒麟2026芯片发布,无,A,利好,未写入,,
ID-20260706-35,688072,拓荆科技,半导体设备,未提供,混合键合设备龙头，华为韬定律V2电路层核心设备，3D堆叠PECVD/ALD受益,研报；行业新闻,中,强,3D封装设备订单,混合键合设备出货量,无,A,利好,未写入,,
ID-20260706-36,600584,长电科技,先进封装,未提供,全球第三封测龙头，2.5D先进封装核心标的，韬定律芯片层封装受益，长鑫存储封测订单锁定至2027,研报；行业新闻,强,强,先进封装订单+长鑫封测,2.5D封装产能利用率,无,A,利好,未写入,,
ID-20260706-37,002156,通富微电,先进封装,未提供,国内少数HBM高带宽内存量产封装厂商，存储封装订单约120亿，HBM封装排产至2027年,研报；行业新闻,强,强,HBM封装产能释放,HBM订单交付进度,无,A,利好,未写入,,
ID-20260706-38,688120,华海清科,半导体设备,未提供,CMP设备龙头，混合键合关键设备供应商，华为韬定律V2电路层受益,研报；行业新闻,中,中,CMP设备订单,先进封装设备出货,无,B,利好,未写入,,
ID-20260706-39,301269,华大九天,EDA,未提供,国产EDA龙头，华为韬定律V2电路层EDA工具受益，3D堆叠设计工具需求增长,研报；行业新闻,中,中,EDA工具国产替代,3D IC设计工具商业化,无,B,利好,未写入,,
ID-20260706-40,688521,芯原股份,半导体IP,未提供,先进制程IP授权龙头，东证推荐把握先进制程产能的芯片设计平台，Chiplet设计受益,研报；行业新闻,中,中,先进制程IP授权,新客户导入情况,无,B,利好,未写入,,
ID-20260706-41,300456,赛微电子,液冷/MEMS,未提供,硅基微通道液冷唯一可量产的国内厂商，适配华为韬定律3D堆叠散热，极限散热3000W/cm²,研报；产业链映射,强,强,华为韬定律散热订单,微通道液冷量产进度,尚未大规模量产,A,观察,未写入,,
ID-20260706-42,300499,高澜股份,液冷,未提供,AI液冷核心弹性标的，冷板/浸没/CDU全布局，在手订单14.56亿，Q2利润或达5000万，Rubin强制液冷+华为超节点双催化,研报；产业链调研,强,强,液冷订单交付+Q2业绩,Q2利润兑现5000万+超节点液冷订单,需跟踪扣非净利及非经常性收益,A,利好,未写入,,
ID-20260706-43,301165,锐捷网络,AI数据中心交换机,业绩超预期（H1同比+235%~257%）,AI数据中心交换机龙头，H1业绩爆发式增长，AI数据中心建设→交换机出货→利润兑现路径已验证,业绩预告；公告,强,强,业绩兑现,Q3订单延续性+毛利率趋势,无,S,利好,未写入,,
ID-20260706-44,002916,深南电路,PCB/载板,未提供,高端封装基板龙头，长鑫存储核心配套，存储专用基板订单锁定至2028年，AI算力封装基板核心,研报；行业新闻,强,强,封装基板订单,产能扩产进度,无,A,利好,未写入,,
ID-20260706-45,688519,南亚新材,CCL,未提供,高速CCL加速放量，M6~M8已批量供应国内头部算力客户，M10海外认证中，目标价442元,研报,中,强,M10放量+海外客户导入,M10认证进展+CCL涨价持续,无,A,利好,未写入,,
ID-20260706-46,600183,生益科技,CCL,未提供,全球覆铜板龙头，存储封装基板上游核心基材，高频高速CCL长期高增长，订单至2027年,研报；行业新闻,中,中,CCL涨价+存储配套,涨价持续性,无,B,利好,未写入,,
ID-20260706-47,301232,飞沃科技,商业航天,未提供,商业航天紧固件龙头，千帆星座组网发射密度提升，卫星结构件核心供应商,行业新闻；产业链调研,中,中,卫星组网订单,千帆星座后续发射计划,无,B,观察,未写入,,
ID-20260706-48,603698,航天工程,商业航天,未提供,航天工程总体单位，千帆星座发射+长六改火箭成功，商业航天核心受益,行业新闻,中,中,发射订单+政策催化,后续发射排期,无,B,观察,未写入,,
ID-20260706-49,001270,铖昌科技,商业航天,未提供,星载相控阵T/R芯片龙头，千帆星座低轨卫星载荷核心芯片，卫星互联网核心配套,行业新闻；产业链调研,中,中,卫星载荷芯片订单,星网/千帆订单落地,无,B,观察,未写入,,
ID-20260706-50,300408,三环集团,MLCC/电子元件,未提供,国产MLCC龙头，AI服务器高容MLCC涨价周期核心受益，日韩产能转向AI高端市场利好国产替代,行业新闻；产业链调研,强,强,MLCC涨价传导业绩,国产高容MLCC突破+价格趋势,国产高容较日韩有2代技术差,A,利好,未写入,,
ID-20260706-51,002138,顺络电子,电感/电容,未提供,国内电感龙头，磁珠/叠层电感涨价受益，AI服务器抢夺电感产能，日韩削减消费类产能,行业新闻；产业链调研,中,中,电感涨价+国产替代,涨价传导到财报,无,B,利好,未写入,,
ID-20260706-52,300738,奥飞数据,IDC,未提供,AIDC稳增长标杆，2025年盈利拐点确认，2026Q1算力交付集中兑现，REITs盘活存量资产,研报,弱,弱,算力机柜投产+REITs,新增机柜交付进度,无,C,观察,未写入,,
ID-20260706-53,002484,江海股份,电容,未提供,铝电解电容龙头，MLPC突破服务器电源，超级电容受益数据中心UPS，千万级营收已落地,研报,弱,弱,MLPC放量+超容订单,服务器电源客户导入,无,C,观察,未写入,,
ID-20260706-54,002046,国机精工,金刚石散热,未提供,向N客户供应4英寸金刚石散热产品，处于发样测试阶段，未获长期批量订单,研报；产业链调研,弱,弱,金刚石散热产品订单,客户检验通过+批量订单,仅送样；未获批量订单,C,观察,未写入,,
ID-20260706-55,300568,星源材质,半导体材料,未提供,持股邦瓷电子13.5%，邦瓷电子为国内唯一半导体级压电陶瓷认证供应商，MFC核心零部件,研报；产业链映射,弱,弱,邦瓷电子业绩增长+持股比例提升,邦瓷电子收入确认,参股映射；间接映射,C,观察,未写入,,
